Netid State  Recv-Q Send-Q                      Local Address:Port  Peer Address:PortProcess                                
udp   UNCONN 0      0                         192.168.122.123:68         0.0.0.0:*    users:(("dhcpcd",pid=869,fd=3))       
udp   UNCONN 0      0                                 0.0.0.0:5353       0.0.0.0:*    users:(("avahi-daemon",pid=706,fd=12))
udp   UNCONN 0      0                                 0.0.0.0:36337      0.0.0.0:*    users:(("avahi-daemon",pid=706,fd=14))
udp   UNCONN 0      0                                    [::]:41451         [::]:*    users:(("avahi-daemon",pid=706,fd=15))
udp   UNCONN 0      0      [fe80::bed3:3f4a:72a2:3d44]%enp1s0:546           [::]:*    users:(("dhcpcd",pid=850,fd=3))       
udp   UNCONN 0      0                                    [::]:5353          [::]:*    users:(("avahi-daemon",pid=706,fd=13))
tcp   LISTEN 0      4096                              0.0.0.0:3260       0.0.0.0:*    users:(("tgtd",pid=889,fd=6))         
tcp   LISTEN 0      1                                 0.0.0.0:14952      0.0.0.0:*    users:(("nc",pid=2559,fd=3))          
tcp   LISTEN 0      4096                            127.0.0.1:631        0.0.0.0:*    users:(("cupsd",pid=886,fd=7))        
tcp   LISTEN 0      128                               0.0.0.0:22         0.0.0.0:*    users:(("sshd",pid=897,fd=6))         
tcp   LISTEN 0      4096                                [::1]:631           [::]:*    users:(("cupsd",pid=886,fd=6))        
tcp   LISTEN 0      4096                                 [::]:3260          [::]:*    users:(("tgtd",pid=889,fd=7))         
tcp   LISTEN 0      128                                  [::]:22            [::]:*    users:(("sshd",pid=897,fd=7))         
