top - 19:19:17 up 35 min,  2 users,  load average: 0,14, 0,74, 0,80
Tareas: 271 total,   1 ejecutar,  269 hibernar,    0 detener,    1 zombie
%Cpu(s):  4,0 us,  4,0 sy,  0,0 ni, 92,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3902,1 total,    152,8 libre,   2359,5 usado,   1773,9 búf/caché    
MiB Intercambio:      0,0 total,      0,0 libre,      0,0 usado.   1542,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   4795 root      20   0   10476   5456   3324 R  16,7   0,1   0:00.04 top
   1662 dani      20   0 5019928 430164 158920 S   8,3  10,8   2:35.00 gnome-s+
   2560 dani      20   0 3685720 581668 250792 S   8,3  14,6   1:54.47 firefox+
      1 root      20   0   23804  14640  10776 S   0,0   0,4   0:01.10 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     18 root      20   0       0      0      0 I   0,0   0,0   0:00.45 rcu_pre+
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.06 migrati+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.07 ksoftir+
     28 root      20   0       0      0      0 I   0,0   0,0   0:00.30 kworker+
     29 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     31 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0,0   0,0   0:00.07 migrati+
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     35 root       0 -20       0      0      0 I   0,0   0,0   0:00.30 kworker+
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     37 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0,0   0,0   0:00.07 migrati+
     39 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     42 root      20   0       0      0      0 I   0,0   0,0   0:02.18 kworker+
     43 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
     44 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker+
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     50 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     52 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     53 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     56 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0,0   0,0   0:01.62 kcompac+
     58 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     59 root      39  19       0      0      0 S   0,0   0,0   0:00.53 khugepa+
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     61 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     62 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     63 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-a+
     65 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     67 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
     68 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     69 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
