PS C:\Users\danib\Desktop\Windows\RAM> vol -f .\memdump.mem windows.getservicesids.GetServiceSIDs
Volatility 3 Framework 2.26.2
Progress:  100.00               PDB scanning finished
SID     Service

S-1-5-80-4151353957-356578678-4163131872-800126167-2037860865   .NET CLR Networking 4.0.0.0
S-1-5-80-1135273183-3738781202-689480478-891280274-255333391    .NET Memory Cache 4.0
S-1-5-80-3459415445-2224257447-3423677131-2829651752-4257665947 3ware
S-1-5-80-2917441881-3404282297-3983348447-1829381237-2935805708 AarSvc
S-1-5-80-388535559-393798598-3225964520-769094711-1376092314    AarSvc_42062
S-1-5-80-1975967573-2913356537-819030703-3730719923-1995772179  AcpiDev
S-1-5-80-2670625634-2386107419-4204951937-4094372046-2600379021 acpiex
S-1-5-80-3267050047-1503497915-401953950-2662906978-1179039408  acpipagr
S-1-5-80-772678238-4220935223-620583658-4118486195-1180343772   acpitime
S-1-5-80-1863632671-1375125309-1493738800-1551534981-2387622636 Acx01000
S-1-5-80-3261807240-4279319092-2126406095-947934052-2578847935  ADOVMPPackage
S-1-5-80-2046354688-3987051615-3879164971-215375460-2633017214  ADP80XX
S-1-5-80-1844980154-4174793104-2163481406-4132667491-3440554544 ad_driver10
S-1-5-80-521319896-1227547225-1440366370-1094984824-1952325498  afunix
S-1-5-80-3882103802-2937937445-2149894622-934926057-1088273958  ahcache
S-1-5-80-3532809085-2652327567-2620918877-1058261733-582902671  AJRouter
S-1-5-80-3520885947-347258037-358237196-958877718-2177097675    amdgpio2
S-1-5-80-3034931084-4111837248-3722498124-953434196-229084002   amdi2c
S-1-5-80-2801965395-127844427-3520948558-3458721972-2348161426  AppleSSD
S-1-5-80-940484976-4139584748-3980625906-2403118188-3770008912  applockerfltr
S-1-5-80-2020831507-1298702824-3288167190-116113825-4190209     AppReadiness
S-1-5-80-3690054487-1922792274-847725564-1425669114-2396631621  AppVClient
S-1-5-80-1981223234-350633043-1452159618-1133528455-2295233572  AppvStrm
S-1-5-80-1995813674-3661462697-784932380-3834207926-917317866   AppvVemgr
