
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:22             0.0.0.0:0              LISTENING       2896
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       992
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4212
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       772
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       612
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1256
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1732
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2500
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       728
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       3040
  TCP    127.0.0.1:49711        127.0.0.1:49712        ESTABLISHED     6856
  TCP    127.0.0.1:49712        127.0.0.1:49711        ESTABLISHED     6856
  TCP    127.0.0.1:49713        127.0.0.1:49714        ESTABLISHED     6408
  TCP    127.0.0.1:49714        127.0.0.1:49713        ESTABLISHED     6408
  TCP    192.168.122.58:22      192.168.122.1:44524    ESTABLISHED     2896
  TCP    192.168.122.58:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.122.58:49675   4.207.247.137:443      ESTABLISHED     2956
  TCP    192.168.122.58:49687   13.107.246.254:443     CLOSE_WAIT      1984
  TCP    192.168.122.58:49691   150.171.85.254:443     CLOSE_WAIT      1984
  TCP    192.168.122.58:49702   107.20.51.208:80       ESTABLISHED     7140
  TCP    192.168.122.58:49703   107.20.51.208:80       ESTABLISHED     7140
  TCP    192.168.122.58:49704   151.101.135.2:443      ESTABLISHED     7140
  TCP    192.168.122.58:49705   107.20.51.208:80       ESTABLISHED     7140
  TCP    192.168.122.58:49709   23.46.86.99:80         ESTABLISHED     1984
  TCP    192.168.122.58:49738   157.240.243.60:443     ESTABLISHED     6856
  TCP    192.168.122.58:49770   2.23.237.19:443        CLOSE_WAIT      1984
  TCP    192.168.122.58:49772   2.23.237.19:443        CLOSE_WAIT      1984
  TCP    192.168.122.58:49776   150.171.109.82:443     CLOSE_WAIT      1984
  TCP    192.168.122.58:49777   13.107.226.254:443     CLOSE_WAIT      1984
  TCP    192.168.122.58:49785   204.79.197.203:80      TIME_WAIT       0
  TCP    192.168.122.58:49786   34.120.208.123:443     ESTABLISHED     6856
  TCP    192.168.122.58:49821   3.122.130.85:443       ESTABLISHED     6856
  TCP    192.168.122.58:49830   104.17.208.240:443     ESTABLISHED     6856
  TCP    192.168.122.58:49867   104.17.208.240:443     ESTABLISHED     6856
  TCP    192.168.122.58:49868   34.250.44.36:443       ESTABLISHED     6856
  TCP    192.168.122.58:49897   151.101.133.44:443     ESTABLISHED     6856
  TCP    192.168.122.58:49917   151.101.133.44:443     ESTABLISHED     6856
  TCP    192.168.122.58:49931   18.172.213.45:443      ESTABLISHED     6856
  TCP    192.168.122.58:49946   18.172.226.107:443     ESTABLISHED     6856
  TCP    192.168.122.58:49948   18.196.239.206:443     ESTABLISHED     6856
  TCP    192.168.122.58:49954   18.172.226.98:443      TIME_WAIT       0
  TCP    192.168.122.58:49956   2.23.237.17:443        ESTABLISHED     6856
  TCP    192.168.122.58:49989   34.250.44.36:443       ESTABLISHED     6856
  TCP    192.168.122.58:49994   151.101.133.230:443    ESTABLISHED     6856
  TCP    192.168.122.58:49995   18.172.213.127:443     ESTABLISHED     6856
  TCP    192.168.122.58:50002   34.199.221.237:443     ESTABLISHED     6856
  TCP    192.168.122.58:50016   178.249.97.23:443      ESTABLISHED     6856
  TCP    192.168.122.58:50019   150.171.28.10:443      ESTABLISHED     6856
  TCP    192.168.122.58:50020   4.207.209.100:443      ESTABLISHED     6856
  TCP    192.168.122.58:50021   18.172.219.81:443      ESTABLISHED     6856
  TCP    192.168.122.58:50023   18.172.226.67:443      ESTABLISHED     6856
  TCP    192.168.122.58:50029   199.232.33.140:443     ESTABLISHED     6856
  TCP    192.168.122.58:50033   151.101.133.140:443    ESTABLISHED     6856
