
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                     0:07:08 N/A                                                                     
System                           4 Services                   0        152 K Unknown         N/A                                                     0:00:17 N/A                                                                     
Registry                        92 Services                   0     65,128 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
smss.exe                       392 Services                   0      1,264 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      540 Services                   0      5,668 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
wininit.exe                    612 Services                   0      7,076 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      628 Console                    1      5,712 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
winlogon.exe                   704 Console                    1     11,592 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
services.exe                   728 Services                   0      9,524 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
lsass.exe                      772 Services                   0     20,492 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
fontdrvhost.exe                852 Services                   0      3,544 K Unknown         Font Driver Host\UMFD-0                                 0:00:00 N/A                                                                     
fontdrvhost.exe                860 Console                    1      7,580 K Unknown         Font Driver Host\UMFD-1                                 0:00:00 N/A                                                                     
svchost.exe                    900 Services                   0     26,036 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                    992 Services                   0     13,424 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:02 N/A                                                                     
svchost.exe                    444 Services                   0      8,260 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
dwm.exe                        524 Console                    1     90,276 K Unknown         Window Manager\DWM-1                                    0:00:16 N/A                                                                     
svchost.exe                   1040 Services                   0      7,680 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1072 Services                   0      6,108 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1084 Services                   0      5,344 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1140 Services                   0      9,764 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1256 Services                   0     15,708 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1300 Services                   0      9,984 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1308 Services                   0      7,952 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1324 Services                   0      6,628 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1348 Services                   0      9,932 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1404 Services                   0     14,876 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   1488 Services                   0      9,844 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1612 Services                   0      8,880 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   1732 Services                   0     21,472 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1800 Services                   0      7,852 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1808 Services                   0     60,204 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:06 N/A                                                                     
svchost.exe                   1844 Services                   0      7,756 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1852 Services                   0      5,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
Memory Compression            1936 Services                   0          N/A Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2012 Services                   0      8,064 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2040 Services                   0      7,332 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1384 Services                   0      8,296 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1664 Services                   0      7,720 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2068 Services                   0     15,120 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                   2124 Services                   0     13,444 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2212 Services                   0      6,956 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
audiodg.exe                   2284 Services                   0     13,952 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2292 Services                   0      6,396 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2304 Services                   0      9,708 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2412 Services                   0     11,988 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
spoolsv.exe                   2500 Services                   0     15,604 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2532 Services                   0     18,240 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2580 Services                   0      8,248 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   2736 Services                   0     13,592 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   2748 Services                   0     13,020 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   2760 Services                   0      8,444 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2776 Services                   0     11,256 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
MpDefenderCoreService.exe     2828 Services                   0     19,524 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2860 Services                   0      9,532 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
ssh-agent.exe                 2884 Services                   0      5,712 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
sshd.exe                      2896 Services                   0      7,620 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2904 Services                   0      6,032 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2932 Services                   0     16,388 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
MsMpEng.exe                   2940 Services                   0    243,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:27 N/A                                                                     
svchost.exe                   2956 Services                   0     19,144 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3040 Services                   0      7,600 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   3492 Services                   0     11,688 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3712 Services                   0      8,512 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   3916 Services                   0     18,308 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   3984 Services                   0     20,392 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3240 Services                   0     17,948 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3368 Services                   0     10,188 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
sihost.exe                     412 Console                    1     37,424 K Unknown         DESKTOP-48SLQ6U\dani                                    0:00:01 N/A                                                                     
svchost.exe                   3456 Console                    1     17,284 K Unknown         DESKTOP-48SLQ6U\dani                                    0:00:00 N/A                                                                     
svchost.exe                   3760 Console                    1      7,612 K Unknown         DESKTOP-48SLQ6U\dani                                    0:00:00 N/A                                                                     
svchost.exe                   2468 Console                    1     28,904 K Unknown         DESKTOP-48SLQ6U\dani                                    0:00:00 N/A                                                                     
MicrosoftEdgeUpdate.exe       4100 Services                   0      2,048 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
taskhostw.exe                 4120 Console                    1     16,280 K Unknown         DESKTOP-48SLQ6U\dani                                    0:00:00 N/A                                                                     
